product_name,manufacturer,product_price,stock,total_reviews,rating,main_category,sub_category_1,sub_category_2,sub_category_3
Harry Potter - Diecast Hogwarts Express Train,Corgi,59.99,5.0,4.0,4.8,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Bachmann 31-169 L&YR 2-4-2 Tank 50795 BR Lined Black Early Emblem,Bachmann,96.0,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Kato 8002 Koki 10000 Freight Wagon,Kato,35.2,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster,39.03,3.0,6.0,4.8,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Transformers & Decoders
Model Railway 'OO' / 'HO' Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit,Dapol,15.25,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound),Sohni-Wicke,167.1,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Hornby,98.5,9.0,6.0,4.7,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Piko 57013 myTrain Diesel Locomotive,Piko,19.95,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Train Tech DS6 One Touch DCC Signal Dual Home (R/G),Train Tech,35.0,,3.0,4.3,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Signal & Sound
Kato 10-847 E259 Narita Express 3 Car Powered Set,Kato,51.61,33.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,Hornby,30.99,7.0,38.0,4.6,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Hornby Pennine Express Train Set,Hornby,,4.0,3.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby - Uncoupling Ramp,Hornby,,15.0,10.0,4.1,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Roco 10908 Seuthe Smoke Oil,Roco,6.5,2.0,3.0,4.7,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Subway train 500 form three-car basic set red gauge N 10-1134 Marunouchi Line,CATO,45.75,13.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Dapol B800 Motorised Track Cleaning Wagon,Dapol,74.6,4.0,7.0,4.6,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R1174 Breakdown Hauler Train Set,Hornby,74.99,3.0,4.0,4.8,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Power Trains Auto Loader City,POWER CITY TRAINS,76.99,2.0,,,,,,
[NEW] Pureoroko C-58 water steam [NEW],Train,27.6,19.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Train Tech SK2 Home Signal Kit with R/G LEDs,Train Tech,8.0,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Signal & Sound
Kato 11-105 Small Type Moter Unit (for Bandai's B-train Shorty),Kato,11.01,27.0,3.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,Bachmann,100.0,2.0,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Piko 59497,Piko,177.99,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
